epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.14679,0.82249,4.36107,0.90008,0.0049,0.75439,0.00417,0.00304,0.76419,4.21267,0.85198,0.00011669,0.00011669,0.00011669
2,5.594,0.88284,2.62011,0.8855,0.00562,0.88596,0.08268,0.06867,0.82992,3.95378,0.85226,0.000245099,0.000245099,0.000245099
3,6.92941,0.79926,1.91078,0.86849,0.006,0.87719,0.03686,0.02764,0.76059,3.99852,0.83846,0.000368227,0.000368227,0.000368227
4,8.26286,0.81494,1.65835,0.87912,0.00688,0.92105,0.26155,0.22947,0.75068,3.81984,0.83495,0.000486074,0.000486074,0.000486074
5,9.5812,0.83412,1.51857,0.90439,0.00717,0.88596,0.09071,0.0739,0.84217,4.00666,0.87747,0.00059864,0.00059864,0.00059864
6,10.9069,0.80852,1.40032,0.86933,0.00734,0.95614,0.42608,0.34033,0.78454,3.74175,0.86776,0.000705924,0.000705924,0.000705924
7,12.2222,0.82687,1.59913,0.8896,0.00701,0.94737,0.59339,0.48218,0.75652,3.69957,0.87108,0.000807928,0.000807928,0.000807928
8,13.5286,0.85552,1.47434,0.91531,0.00699,0.98246,0.83434,0.65854,0.79029,3.40662,0.86839,0.000904651,0.000904651,0.000904651
9,14.8374,0.80604,1.38257,0.90781,0.98659,0.64529,0.88734,0.73084,0.77578,3.17434,0.85646,0.000996093,0.000996093,0.000996093
10,16.1415,0.80408,1.36663,0.90438,1,0.22693,0.94543,0.75879,0.76354,3.04089,0.86839,0.00108225,0.00108225,0.00108225
11,17.4644,0.78874,1.25277,0.86504,1,0.49932,0.94343,0.76221,0.75803,2.80083,0.87912,0.00116313,0.00116313,0.00116313
12,18.7556,0.81682,1.16648,0.94092,1,0.77757,0.98112,0.78046,0.78743,2.45932,0.88405,0.00123873,0.00123873,0.00123873
13,20.0714,0.78131,1.17242,0.8805,1,0.87722,0.99303,0.77648,0.7822,2.20396,0.88464,0.00127092,0.00127092,0.00127092
14,21.366,0.77959,1.14862,0.87874,0.99082,0.94674,0.9943,0.76218,0.82631,1.78895,0.87948,0.00123791,0.00123791,0.00123791
15,22.6411,0.72431,1.06111,0.87315,0.95584,0.94932,0.97021,0.81174,0.67134,1.69446,0.85716,0.00120491,0.00120491,0.00120491
16,23.9364,0.70615,1.07305,0.86154,1,0.98266,0.995,0.83535,0.68745,1.53555,0.85918,0.0011719,0.0011719,0.0011719
17,25.2078,0.72081,0.94998,0.87857,1,0.98026,0.99157,0.80799,0.69791,1.27603,0.87391,0.00113889,0.00113889,0.00113889
18,26.4557,0.71447,1.09884,0.9043,1,0.98114,0.99301,0.81697,0.68472,1.34374,0.86031,0.00110589,0.00110589,0.00110589
19,27.7236,0.662,0.94411,0.85378,0.99706,0.97368,0.9926,0.82419,0.67891,1.0652,0.86119,0.00107288,0.00107288,0.00107288
20,29.0125,0.7132,0.9028,0.86272,0.98733,0.97368,0.99372,0.81716,0.65957,1.09172,0.86344,0.00103987,0.00103987,0.00103987
21,30.2745,0.72823,0.93546,0.85928,0.99121,0.98912,0.99482,0.84269,0.59729,1.00552,0.84523,0.00100687,0.00100687,0.00100687
22,31.5888,0.63977,0.82483,0.8419,0.99812,0.98246,0.99491,0.85417,0.63822,0.94449,0.84743,0.000973861,0.000973861,0.000973861
23,32.8436,0.66426,0.83689,0.85112,0.98605,1,0.99491,0.8656,0.57024,0.91791,0.83644,0.000940855,0.000940855,0.000940855
