epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4258,0.81211,4.12666,0.90913,0.00546,0.85965,0.02108,0.01531,0.63988,4.14007,0.82582,0.00011669,0.00011669,0.00011669
2,27.5426,0.74841,2.15339,0.85454,0.00607,0.9386,0.2071,0.14397,0.75073,3.89308,0.8316,0.000245099,0.000245099,0.000245099
3,39.8599,0.77305,1.9498,0.85417,0.00651,0.9386,0.03432,0.02711,0.69946,3.92474,0.82542,0.000368227,0.000368227,0.000368227
4,51.9182,0.8449,1.57088,0.85969,0.00758,0.95614,0.21801,0.18113,0.75566,3.81629,0.8421,0.000486074,0.000486074,0.000486074
5,63.6596,0.85773,1.55881,0.90022,0.00772,0.91228,0.02102,0.01625,0.80025,3.9251,0.86028,0.00059864,0.00059864,0.00059864
6,75.635,0.81955,1.49315,0.90082,0.00742,0.91228,0.51974,0.43643,0.74906,3.82335,0.86286,0.000705924,0.000705924,0.000705924
7,87.4176,0.83625,1.40458,0.89406,1,0.33682,0.61985,0.50309,0.77178,3.71392,0.8764,0.000807928,0.000807928,0.000807928
8,99.2505,0.80984,1.3332,0.87848,0.00646,0.92982,0.1339,0.10099,0.85588,3.8005,0.89503,0.000904651,0.000904651,0.000904651
9,111.407,0.80384,1.27839,0.89376,0.00602,0.89474,0.60893,0.49709,0.79335,3.58661,0.89906,0.000996093,0.000996093,0.000996093
10,123.503,0.81682,1.23664,0.89522,1,0.43814,0.71196,0.59021,0.75879,3.53647,0.90147,0.00108225,0.00108225,0.00108225
11,135.834,0.73721,1.3222,0.85484,1,0.60042,0.93405,0.79311,0.70857,2.86684,0.89163,0.00116313,0.00116313,0.00116313
12,148.136,0.72575,1.15081,0.89991,0.98032,0.87375,0.98444,0.80826,0.72449,2.39223,0.92464,0.00123873,0.00123873,0.00123873
13,160.488,0.75421,1.26424,0.87393,1,0.92866,0.98647,0.79002,0.76662,2.11956,0.91092,0.00127092,0.00127092,0.00127092
14,173.096,0.74146,1.21394,0.86746,1,0.96177,0.9917,0.80042,0.70436,1.70223,0.86288,0.00123791,0.00123791,0.00123791
15,185.585,0.7259,1.14093,0.87158,0.99262,0.96491,0.99328,0.80505,0.69786,1.5135,0.8605,0.00120491,0.00120491,0.00120491
16,197.4,0.68925,1.11712,0.87238,0.95673,0.96967,0.99173,0.83438,0.67931,1.31933,0.8826,0.0011719,0.0011719,0.0011719
17,208.905,0.68304,1.00384,0.88248,0.95697,0.97535,0.99248,0.84066,0.64273,1.28513,0.86894,0.00113889,0.00113889,0.00113889
18,220.652,0.65922,0.99688,0.8572,1,0.97075,0.99448,0.83322,0.62979,1.1567,0.86271,0.00110589,0.00110589,0.00110589
19,231.879,0.65368,0.97522,0.87205,1,0.95549,0.99432,0.84595,0.6154,1.15197,0.84954,0.00107288,0.00107288,0.00107288
20,243.147,0.70982,1.1283,0.88264,0.99621,0.94737,0.99191,0.82524,0.6833,1.06753,0.86854,0.00103987,0.00103987,0.00103987
21,254.409,0.68041,0.9429,0.86699,0.99728,0.94737,0.99233,0.84798,0.63968,1.06233,0.86549,0.00100687,0.00100687,0.00100687
22,265.701,0.7029,0.89422,0.86442,1,0.96877,0.99407,0.85043,0.61103,1.01274,0.85351,0.000973861,0.000973861,0.000973861
23,276.96,0.68159,0.91335,0.90564,0.99471,0.99123,0.995,0.86259,0.58785,0.99916,0.85197,0.000940855,0.000940855,0.000940855
24,288.208,0.67488,0.85603,0.85744,0.98861,1,0.995,0.86342,0.58178,0.96818,0.85522,0.000907848,0.000907848,0.000907848
25,299.269,0.61458,0.84725,0.84145,0.9897,1,0.995,0.86826,0.53824,0.91314,0.84695,0.000874842,0.000874842,0.000874842
26,310.387,0.61946,0.78662,0.8552,1,0.99953,0.995,0.85795,0.56393,0.84621,0.85458,0.000841835,0.000841835,0.000841835
27,321.361,0.63324,0.80224,0.88432,1,0.99664,0.995,0.84676,0.62884,0.84916,0.862,0.000808828,0.000808828,0.000808828
28,332.33,0.69969,0.83076,0.89831,1,0.99601,0.995,0.85654,0.54087,0.79618,0.83877,0.000775822,0.000775822,0.000775822
29,343.452,0.64365,0.79608,0.85993,1,0.99824,0.995,0.86527,0.53263,0.8293,0.83936,0.000742815,0.000742815,0.000742815
30,354.278,0.61609,0.7845,0.82042,0.99956,0.99123,0.995,0.84111,0.58001,0.78974,0.85029,0.000709809,0.000709809,0.000709809
